teacher_prefix,school_state,project_grade_category,project_subject_categories,project_subject_subcategories,project_title,project_essay_1,project_resource_summary,teacher_number_of_previously_posted_projects,project_is_approved
Mrs.,PA,Grades 3-5,Literacy & Language,Literacy,Creating a Cozy Classroom,"For the last decade, I have been teaching in a low income/high poverty school district. Many of my student live in the housing projects. They face many challenges at home and at school. Our district provides free breakfast and lunch for every child that walks into our schools. This year it is my goal to provide my students with a comfortable classroom setting where students feel at home. I believe that providing students with a conducive classroom will lead to more productive learning.",My students need wobble seats and yoga mats so they can sit comfortable while enjoying reading.,5,0
Mrs.,OH,Grades 3-5,Math & Science,Health & Life Science,5th Grade Life Science: Owl Pellet Dissection Project!,"I am amazed at the passion this group of 5th graders have for science. We will be studying ecosystems and food webs in the next unit. Please help me make this project possible. I know this will be an incredible learning experience they will always remember.\r\n\r\nThey are an enthusiastic group of kids who love science and experiments.\r\nThere is never a dull moment during science when they are relating what they are learning to their own lives and experiences. As their science teacher, I want to provide them with inquiry based science experiences that will help them develop their scientific understand and build on their already present curiosity.","My students need owl pellets classroom kit, curriculum flip chart, and owl pellet dissection mat for this great science inquiry dissection project.",21,0
Mrs.,NC,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics",Picture This!,"My students are amazing and I truly believe they deserve the best in their education. My hope as a first year teacher, is that I can provide the materials that they need to have an engaging learning environment. \r\n\r\nI have 18 lively 2nd grade students who are excited about learning. I have a classroom filled with love, laughter and learning. Many of my students come from low income homes and our school is considered an \""at risk\"" school. As I mentioned before, I want the absolute best for my students. I love working at this school. Unfortunately, the school does not have the funds to supply beginning teachers with funds to purchase supplies for the classroom.",My students need a document camera for our classroom. This will allow me to project items onto the board for them to be able to see.,2,1
Mrs.,TX,Grades PreK-2,"Applied Learning, Literacy & Language","Early Development, Literature & Writing",Ways to Wiggle and Learn!,"My 1st grade classroom is alive with wiggles!  We like to move and groove during our day.  The learners grow so much in this year, not just in their education but their size too!\r\n\r\nOur school is devoted to created life long learners who strive to be excellent citizens.  In this classroom they begin this foundation through movement as well as rigorous curriculum.  My 25 learners have giving hearts and are motivated to learn!   \r\n\r\nRayzor is a wonderful school with the focus on our learners and what is best for them.  We want to provide the best and most comfortable spaces for learning!",My students need 6 Kore wobble stools and 3 Big Joe bean bag chairs for flexible learning options to enhance optimal  learning.,0,1
Ms.,TX,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics","Class, Color, and Creativity","First graders are extremely excited about learning and coming to school. At first grade they understand learning is fun. Some of them come to school from a difficult family life and I always try to be aware of this fact and make my classroom a positive learning environment. Most of my students come from poverty and school is the place where they feel happy and engaged. And as a teacher, I want to make sure they always feel this way.",My students need permanent markers and a color printer with toner.,13,1
Mrs.,VT,Grades PreK-2,"Applied Learning, Health & Sports","Early Development, Health & Wellness",Supporting Outdoor Learning Experiences,"The students in my classroom come from all walks of life but together they are learning to interact with each other in a group setting.   The children are eager to learn and are curious about others as well as the world they live in. As preschoolers they are excited to explore, to engage and to be active in their learning.\r\n\r\nThe children in my classroom learn through play within the classroom but more so outside in the natural world.   Children who regularly play outdoors develop lifelong skills that lead to an active healthy lifestyle. The benefits of young children experiencing outdoor play creates opportunities to help develop gross motor skills, stimulate the imagination,  decrease stress, encourage cooperation with peers, promote problem solving and critical thinking, and increase their attention span to learn.  Outdoor play helps children to make sense of their world in a natural setting. \r\n\r\nUnfortunately the weather in NE Vermont can often make it challenging for young children be outside for long periods of time if not properly dressed for the weather.  To enjoy outdoor play in cold/wet weather it is  essential that children have adequate outside clothing.",My students need one-piece waterproof rain-suits to use during outdoor learning in all types of weather.,0,1
Mrs.,MI,Grades PreK-2,Health & Sports,Gym & Fitness,Riding along in PreK!,"My students are energetic and eager to learn. The school is located in a large urban city, and we have preschool to 8th grade students. The surrounding neighborhood has empty lots, abandoned homes, and is plagued by crime. The neighbors have turned some of the empty lots into vegetable gardens along with one directly across the street that the students are tending. We have lots of great families that attend this school and want the best for their children. \r\nFor most of my students, this is their first experience in school, and they are excited and happy to be here. Unfortunately, there is not a neighborhood playground in the area that the children can go to, and most do not have play equipment in their backyards. The school has a large gym that my students use in the winter and on rainy days. The gym is an empty space where we bring in a few tricycles, balls and toys for the students to use during this time.","My students need \""taxi\"" tricycles and scooters for their gym time.",18,1
Ms.,CA,Grades 6-8,History & Civics,"History & Geography, Social Sciences",Recreating The Past!,"The students in my free, public charter school enrolled for one primary reason: they want a better chance at being the first person in their family to attend and then graduate from college. Your donations will directly help my students accomplish this. \r\n\r\nMy students use these to complete projects that teach technical skill, critical thinking, writing conventions, and scientific process.  Your donation will  directly help my students achieve their goals, of going to college.  Please take a moment to check out my projects below!  Thank you!","My students need these supplies in order to take part in hands on historical simulations, within the classroom.",1,1
Ms.,NM,Grades 3-5,"History & Civics, Literacy & Language","History & Geography, Literacy",Expanding New Mexico's Horizons!,"Northwest New Mexico can be pictured through winter strings games, thunderstorms, the smell of roasting green chiles, and the crowds at the Northern Navajo Nation Fair and the Connie Mack baseball tournament. The students within this district are extremely proud of their heritage and local culture. In Bloomfield, we get to teach students of Hispanic, Native American (primarily Navajo) and Caucasian nationality. Despite our rural location, the kids are eager to learn about themselves, and the world outside of New Mexico.",My students need more non-fiction books to better understand the world.,2,0
Mr.,NY,Grades PreK-2,Health & Sports,Health & Wellness,"Rain,Rain, Come and Stay; We'll Come Out to Play Today!","Our Pre-K students are from the most diverse borough of New York City...Queens. Because of this, our population is made up of many English language learners. When they come into Pre-K, for most, it's their first time in school. Children with special needs are often not diagnosed at this stage since their parents do not have any frame of reference. It is up to us to make sure they get the best quality public education they deserve. Our kids are young, ambitious, and curious, but there's darkness lurking about that's much too serious. \r\n\r\nPre-K is a time to explore and play, to imagine and create until the end of the day. But the trouble that's looming seems to be blooming. Academic rigor! Academic rigor! They're telling us to grow up much, much quicker. All kinds of backgrounds, cultures, languages, and needs are represented here. As diverse as we are, there's one thing that's clear...We all know how to play, so please help make sure play will stay!",My students need raincoats and rain boots to explore and play outdoors on rainy days.,103,1
Mrs.,FL,Grades 3-5,Math & Science,Environmental Science,4th graders need to understand the importance of enviromental science,"My students are creative, active, and have positive attitudes towards learning!  Our class is a mixture of regular education and gifted students, most who have an interest in STEM based activities.\r\n They enjoy learning and incorporating a variety of hands on STEM based activities to enhance their understanding of how the world works.\r\n Each child brings a diverse background to the group. We are a school in a district that is economically disadvantaged with a very diverse group of students who truly enjoy coming to school every day.","My students need 2 plant development kits in order to  understand  the process of germination and growth and, therfore, the importance of plants on enviromental science.",3,0
Mr.,FL,Grades 9-12,Math & Science,Applied Sciences,Physics Makes the World Move,"Our neighborhood, and as a result our school, has been undergoing a population change. Our core population has gone from middle to upper middle class white students with professional parents to children of hard working Haitian immigrants.\r\n\r\nMy students are primarily Haitian immigrants, many of whom have limited English proficiency. They are very respectful students whose parents support the teachers and instill the importance of education in their children. Many are in our biomedical engineering program and need a strong foundation in the sciences, especially physics for the future engineers. \r\n\r\nUnfortunately, our school is only at about half capacity, with the reduction in funding that goes along with a reduced population. As a result, we have to rely on lab fees to purchase equipment and supplies and that results in only rudimentary supplies and consumable materials being given high priority.\r\n\r\nOur physics program does not have sufficient equipment for the students to perform many of the most basic experiments necessary for a thorough understanding of physics. We are in dire need of the most basic equipment.",My students need physics equipment to perform basic physics experiment necessary for the understanding of physics.,1,0
Mrs.,NC,Grades 3-5,Health & Sports,"Health & Wellness, Team Sports",Peddling & Playing Our Way to Higher Achievement,"I don’t know about you, but I definitely have difficulty sitting still, and I definitely don’t enjoy sitting in at a traditional desk and chair all day long.  My students have told me they are tired of sitting down.  They love to stand and move around.  They love to pick places around the room to work.  My classroom has a variety of places in which they can work including: two bungee chairs, a rocking chair, stools, pillows, and traditional chairs.  They are also begging for a variety of balls for the playground.\r\n\r\nThis very active group of 9 & 10 year olds to expend energy throughout the day in order to reach their full potential during academic time.\r\n\r\nI have an amazing group of 4th graders.  Last year my classroom became an alternative seating setting.  Alternative seating along with an active time during recess helps my students be better able to focus and their effort and confidence will increase!\r\n",My students need exercise peddlers under their desks and playground equipment to expend excess energy in order to increase their attention spans and achievement.,32,1
Mrs.,AZ,Grades 3-5,Math & Science,Mathematics,Flexible Seating for Focused Fourth Graders,"In order for students to grow to become better fourth grade versions of themselves, they need to be able to have the freedom of choice to strategically pick a working spot or or seating option that academically works best for each individual. My fourth grade students need items to encourage the freedom of choice and exhibit the full advantage of flexible seating.\r\n\r\nOver 90% of the students at our school are serviced with free and reduced price breakfast and lunch rates. My class currently consists of 24 fourth graders in my morning group and 24 fourth graders in my afternoon group who have developed a new found love and enjoyment for the freedom of student choice through flexible seating. Our school supports students as they take academic risks, accept challenges and encourage students to succeed! I want to ensure that I am giving them every possible opportunity to reach their highest potentials!","My students need 3 yoga mats, 2 bean bag chairs, 4 balance balls, and set of 6 stools to add more options for flexible seating in the classroom.",24,0
Mr.,FL,Grades 9-12,Health & Sports,Gym & Fitness,Get Active!,"Our students strive to reach their full potential so that they may become the best possible versions of themselves. We are a Title I school, meaning that the majority of our students come from low-income homes. Their family lives are often strained making it difficult for them to focus fully on their education. Despite all this, our students manage to make our school an \""A\"" school. These students show us that no matter the situation, we have the ability to accomplish our goals and excel in education and in life.",My students need pedometers to allow them to observe how active they are being during class. They would like to have the agility ladders and HotSpots so that they can set up circuits.,4,0
Mrs.,CA,Grades 6-8,Literacy & Language,Literacy,Can You Hear Me Now?\r\n,"Middle school is the perfect time for my students to begin to wrestle with big questions, learn about the bigger world around us, and begin to address some big issues that affect them and those people near to them. My students are enthusiastic, opinionated, and - well - simply entertaining. They are ready to grow up and learn - deeply. \r\n\r\nMore than anything my students want to connect, share their experience, and begin leave their mark on our world. I am proud. Daily, my students demonstrate a profound capacity to collaborate, innovate, and lead. I want to provide them meaningful opportunities and experiences to foster these skills.","My students need podcasting booths in classroom; audio yields huge results: student voice, confidence, and motivation.",0,0
Ms.,TX,Grades 3-5,Literacy & Language,"Literacy, Literature & Writing",Motivation for Reading,"My students are English Language Learners, they are very creative, full of life and greatly motivated to learn.\r\nFor most of them their first language is Spanish.\r\nWe read a novel for the first six weeks of this school year, students did close reading, which allowed them to really have a deeper understanding of the plot, they loved it.\r\nWe would like to have various novel and informative texts in Spanish to continue encouraging and motivating their love for Reading.","My students need novels, chapter books, non-fiction, biographies, informative and Texas History books.",0,0
Mr.,FL,Grades 3-5,Math & Science,Mathematics,Getting Creative with STEM through Mathematics,"My students need manipulatives in order to have a meaningful and profound learning experience. It is that time of the year where classrooms come to life again. Children walk into school with high expectations and excitement to embark on the journey of learning. My students are very artistic, motivated, creative and passionate. I teach at a Title I school in a low income area in the heart of Miami Dade County. Many of my students experience many challenges in and out of school; but those challenges only provides them with more motivation to work harder and pushes me to provide them with a safe learning environment and as many resources to facilitate their learning experience.","My students need need math manipulatives, an iPad, and stationery to do research and represent their project-based learning in a STEM classroom.",4,1
Ms.,NY,Grades PreK-2,"Literacy & Language, Music & The Arts","Literacy, Visual Arts",Around the World Through Art,"are WONDERFUL, I am in awe of their resilience, their contagious smiles, their willingness to show up and try even when they don't know how to do it, their sense of humor, their kind hearts and their love of life. \r\nTheir lives are hard and demanding, their neighborhood unforgiving and at times dangerous, but despite it all, they show up everyday ready to learn and smiling, and telling you that they love you and that they always look forward to whatever day of the week they have you so that they can see you and make art...","My students need technology, books and art supplies to learn about the world!",6,0
Ms.,UT,Grades 3-5,Math & Science,"Environmental Science, Mathematics",The world is at our feet!,My students are so eager to learn! They thirst for knowledge and love to discover all that the world around them holds. \r\nThey arrive each day full of questions and wonderings and ready to explore.\r\nOur school is K-9 and focused on preparing students to contribute as global citizens. We build the future by empowering individuals to realize their unique potential to influence the world around them. We aim to implement educational ideas by nurturing principles worthy of academic merit which assists students in preparing to become successful and positive influences in the world around them.,My students need safe storage for our Chromebooks and additional STEM supplies.,0,0
Mrs.,FL,Grades 9-12,Special Needs,Special Needs,SEED TO TABLE GARDEN,"I wouldn't consider these young adults to be my students, they are more like my family. I have a group of 38 students in a Social Functioning (ESE) class. I typically have these students for 4 to 6 years as they are special needs and can stay in high school until they are 22. \r\n\r\nTheir diagnosis ranges from Autism to Down Syndrome to Intellectually Delayed; I don't consider these disabilities, just ABILITIES. Each one of my students is unique, bringing their own interests, hobbies, and specialties to the class. Some are painters, some are singers, some just want to spread love wherever they go. They are my inspiration, and I couldn't imagine being anywhere but with them.",My students need gardening supplies for a seed to table program.,1,0
Ms.,IL,Grades PreK-2,Literacy & Language,"ESL, Literacy","Today's Readers, Tomorrow's Leaders","My classroom is as diverse and vibrant as the personalities that fill it. I am the proud teacher to 30 bilingual first graders, many of whom come from hardworking, persistent immigrant families. Nearly all of my students qualify as low income. But despite the economic and language challenges they face, they inspire me each day with their enthusiasm to learn and their willingness to persevere both inside and outside of the classroom.\r\n\r\n I am constantly amazed by my students' curiosity, and each day they teach ME something new. The school I work at is filled with teachers and administrators who are all dedicated to the students' well-being and success. They have been a wonderful example of promoting creativity, resourcefulness, and engagement within the classroom. I am blessed to work at my school, and to have 30 inspirational students in my class who make coming to work so enjoyable everyday!","My students need a variety of new, high-interest picture books to foster a love for reading.",9,1
Mrs.,GA,Grades PreK-2,Special Needs,Special Needs,The Calming Classroom: Tools for Special Needs Preschool,"As a teacher in a special needs preschool classroom, I work with students that have a range of disabilities, including intellectual disabilities, emotional disturbance, autism spectrum disorder and specific learning disabilities.This is usually their first experience in a classroom or even with someone besides their mother or father. Their age can range from 3-5 years old and many of them are extremely anxious and overwhelmed by everything. As a special education teacher, my job is to help them be successful in everyday life in and outside of the classroom. \r\n\r\n The majority of my students that I work with have Autism Spectrum Disorder.   Some of them come from lower income families and are non English speakers as well. As the classroom keeps growing I want to be able to provide my students with the tools they need to be successful learners and eventually a vital part of the community.",My students need an array of various sensory tools to help them self regulate and to help calm them when they are overstimulated.,0,1
Ms.,TN,Grades 3-5,Literacy & Language,Literacy,We're Brewing Up a Potion of Success,"At Glengarry Elementary we have some of the sweetest most hard working students I have ever met.  Many of the students at our school are living in poverty and we also have a high percentage of English Language Learners.  \r\nThat being said, exposure to books at home may be limited.  I want to make sure that our students get as much exposure to good literature as possible. This book will also go very well with our Harry Potter themed classroom.",My students need books for a shared reading morning meeting activity.,0,0
Mrs.,AL,Grades 3-5,Literacy & Language,Literature & Writing,Continuing the Creative Flow in 3rd Grade,"My students are the sweetest group of 3rd graders. My students are thoughtful, inquisitive, and so eager to learn.  They love to do STEAM projects and use technology. \r\n\r\n\""The art of TEACHING is the art of assisting DISCOVERY.\"" - Mark Van Doren\r\n\r\nMy students love to create, explore and discover new ways to solve problems and learn. Our classroom is always so full of conversation and energy. They love to collaborate and share ideas while working together. We are moving through 3rd grade!","My students need several additional flexible seating options so that each child has a seat to enhance their learning style. Also we are in need of additional gel crayons, and erasers for posters and creative projects.",2,0
Mrs.,CO,Grades 3-5,"Literacy & Language, Music & The Arts","Literature & Writing, Visual Arts",Smart Kids Love Art!,"I have a very diverse class.  We have students from India, Korea, Mexico and the Philipines. Many of the students do not have access to the art supplies I am requesting.  Most of them are also not in a position to take art classes.\r\n\r\n This class is great at working together and helping others.  Every Friday I plan a big art project that we work on together.  The kids love it!\r\nThey are super interested in different artists and sometimes like to create art using that as an inspiration.  They also like to read books and make art from the book in their own way. My students are encouraged to put themselves into their art and do their best!\r\n",My students need art supplies that will allow us to do much more complex projects using a wider variety of mediums.,0,0
Ms.,TX,Grades 6-8,Literacy & Language,"ESL, Literature & Writing",Alternative Seating,"My students are predominantly economically disadvantaged. I have 99% minority students, whose families cannot provide the accommodations we are seeking. However, with a great classroom environment, they could succeed! They're a great group of 7th grade writers who are very active and engaged. They are respectful and willing to learn. With the right tools and environment, they stand to succeed in the classroom. My goal is to provide an environment conducive to learning for the variety of personalities and learning styles within my classes. I have approximately 120 students throughout the day, who would greatly benefit from having the alternative seating in the classroom. Thank you for considering us!","My students need alternative seating for our classroom, such as yoga balls and tv tray tables.",0,1
Mrs.,CA,Grades 3-5,Health & Sports,Gym & Fitness,Friends Taking Special Friends Out to the Ballgame!,"My students are a very energetic group of 5th graders who love the Dodgers. Every year we have a softball game with the 5th grade students versing the staff of the school. Sad to say, the students always win.\r\n     My students have been begging for new softball equipment so they can continue to beat the staff as well as continue to build their academic stamina, overall fitness, and social empathy.  Our special friends play with us, so it would be great to get softball equipment that is easier for them to use.",My students need new baseball equipment that can be used for when they are playing and teaching their special friends about the fabulous sport of baseball. .... Go Dodgers!!!!,15,0
Mr.,TN,Grades 3-5,Special Needs,Special Needs,Social Skills = Success,"As a special education teacher I work with a diverse group of students.   Many of these student struggle with many of the social skills that most of us take for granted. They have a hard time making friends and fitting in to the social norm of school. Many of my students struggle with making friends and participating in group activities.\r\n\r\nThese students are expected to engage and interact with other students, but lack many of the basic social skills that allow them to interact appropriately. My students must develop the social skills that will allow them to be successful.",My students need tools that will allow them to develop appropriate social skills.,1,0
Ms.,NC,Grades 3-5,"Health & Sports, Applied Learning","Health & Wellness, Other","Wobble, Bounce, Learn- Flexible Seating in 5th Grade!","My students are fabulous fifth graders! This year is so very important, as it is their last year in elementary school. 5th grade is an exciting year, yet very rigorous and full of growing responsibility. With this responsibility comes self-control and awareness. I expect my students to figure out how and where they can achieve their best learning. It is not easy for 26 fifth graders to sit at desks all day. We do our best to use our classroom to it's fullest capacity, satisfying all learning styles and comfort needs.",My students need flexible seating to support their very best learning!,1,1
Mrs.,PA,Grades 6-8,Math & Science,Environmental Science,LittleBits Kit For Engineers of the Future!,"School Lane Charter School serves a very diverse group of students in grades 7th-11th. We are a Title 1 School, and about 60% of our students receive free or reduced lunches.  Many of my students live in urban neighborhoods bordering the school and must count on public transportation to attend our school.  \r\n\r\nOur school library is truly the hub of the school, and fulfills many needs for the students I serve.  My students are anxious to learn about engineering, art, robotics, coding, math, and science through the use of our new Makerspace.",My students need the LittleBits Steam Student Set to bring life to recyclables with student created inventions.,0,1
Ms.,MA,Grades 9-12,Literacy & Language,"ESL, Literature & Writing",Technology in the Classroom,"As a teacher in a low-income/high poverty school district, my students are faced with several challenges both in and out of the classroom. Despite the many challenges they face, I am strive to make my classroom a place where students feel safe to express themselves and take chances. \r\n\r\nMy students are concientious, clever and full of surprises.\r\n\r\nMany of my students receive a free lunch based on their socioeconomic status or live with relatives or friends. These things may prevent them from getting ahead early in life and may not provide them with the life experiences many of us see as \""typical\"". However, while they are with me, I focus on their potential and growth. I may not be able to control their home lives, but I can certainly control their experience during the school day. By doing this in a creative and positive way, I am hopeful to inspire all my learners to continue on a path of academic excellence.","My students need computers in order to access the curriculum through technology. They can use the laptops to listen to books, create slide presentations, research topics, and study vocabulary.",0,1
Teacher,FL,Grades PreK-2,Health & Sports,Health & Wellness,A Sit-sational way to Learn!,"They are growing and learning in the same small, tight knit, school community that educated and inspired me to be a teacher. My students come a variety of households, socio-economic levels, cultures and experiences. I strive to inspire them everyday to believe in themselves, dream big and never give up. Our class is the Heroes, the students are taught and guided to find a hero within themselves. Two students have severe behavior issues, 4 on struggling with grade level academics and 5 have ADD or ADHD. They can and will overcome these obstacles when placed in an encouraged, nurturing and energetic classroom with ample opportunities to stay focused with movement activities, brain breaks, positive reinforcements and flexible seating.","My students need ball chairs, cubes, and stools for comfortable, flexible seating to increase focus, engagement, and attention.",1,0
Mrs.,OH,Grades PreK-2,"Applied Learning, Health & Sports","Early Development, Gym & Fitness",Learning and Moving All Over the Room!,"My students come from such varied backgrounds, but they have so much to share, express and teach each other! Coming from an area where the major employer pulled out 8 years ago, many of them are dealing with big problems and big emotions at a young age. \r\nMy Kindergarteners are the kindest and most conscientious I have encountered in my decade-plus career; I am often in awe as my kids have worked to grow as a team, encouraging each other through our classroom \""growing tree.\"" They are raised in a truly broad range of backgrounds: very low to very high socio-economic statuses, several races, cultures, and a growing free-and-reduced lunch population.  Additionally, a growing population of students are now open-enrolled from other districts. This showcases that our families trust in and believe in our school. I strive to make every child feel that they have a place to belong, feel safe and have everything they need at school. My vision is to help them to understand themselves, community and welcome each other as they are and as they grow.","My students need Kore wobble stools, sit upons, wobble disks and scoop chairs to motivate, build muscles and help improve focus and core strength.",0,0
Mrs.,NC,Grades PreK-2,"Applied Learning, Literacy & Language","Early Development, Literature & Writing",Learning Reading and Writing Skills Through Meaningful Play,"Our school has over 550 students from kindergarten through fifth grade. Our demographics frequently change as our population tends to be transient. We have a diverse ethnic representation.\r\nOur student population is 50% neighborhood and 50% from a STEM lottery, making our school a true melting pot.  Even though our school is over 50% high poverty, all the students enjoy school and want to learn. They are highly creative and frequently challenged with real world problem lessons. They are learning to be innovators and are challenged to take chances.\r\n\r\n","My students need to be able to play. They need to learn to cooperate, to dream, to make up stories, and to learn reading readiness skills.",1,1
Ms.,PA,Grades PreK-2,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",Kindergarten Is Tech Savvy!,"The school year is quickly approaching and I want to integrate more technology into our classroom. \r\nI am entering my third year teaching kindergarten at a Title I school in Philadelphia where students need to be introduced to more technology. Technology allows educators the ability to differentiate instruction and I am looking forward to succeeding in doing so this year!\r\nEach year, a group of five year old's enter my room nervous, scared, excited, and timid. By the end of the year, my students are reading, writing, and exploring new ideas. I want to inspire my students to branch out and expand their knowledge using technology by the end of this year!",My students need the ability to view and see work being done in the classroom. The wireless document camera and projector will assist them in viewing materials more appropriately! The projector screen will also help greatly.,1,0
Mrs.,LA,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics",Technology Savy,"As a teacher in a middle to low-income neighborhood school, my students are faced with challenges both in and out of the classroom. Despite the challenges, I always strive to keep things simple and provide my students with creative and meaningful positive learning experiences.\r\nMy students very active and creative, enjoy reading, and are always eager to learn.  Many of my students are being raised in single-parent households and receive free or reduced breakfast and lunch.   Sometimes situations or circumstances at home prevent them from getting ahead early in life, and may not provide them with the life experiences many of us see as normal or typical.  From the moment they enter my classroom, I keep my focus on their potential and growth for the time they are with me.  I may not be able to control their home lives, but I am able to control their experiences during the school day. I want all of my students to be successful and think of school and learning in the most positive way possible.\r\n",My students need a laptop computer so they may to do all the programs available that will make them successful in this 21st century learning environment.,15,1
Mrs.,GA,Grades PreK-2,"Literacy & Language, Special Needs","Literacy, Special Needs",Technology and Multi-sensory Learning,"Despite the struggles they face day to day, my students are amazing in every way. My first and second graders live in a low socioeconomic area and attend a Title I school, at which 100% of the students receive free or reduced priced breakfast and lunch. Every day they walk through their neighborhoods full of gun violence and gangs and are expected to sit still, be quiet, open up a book and learn something new--however, they are just not focused on the task at hand.  Well, it's time to shift the traditional 20th century learning towards the 21st century interdisciplinary learning to get them more engaged.\r\n\r\nMy students are ready to use technology and other resources to become innovative thinkers. The majority of the students in my class do not have technology at home nor the resources to  purchase it for educationally purposes. Therefore, increasing their exposure will be beneficial to their learning and make them more equipped to compete academically with the real world. The desire to learn is visible. They will also learn collaboratively in order to enhance their problem solving skills.",My students need an iPad mini with a case to protect the device and give them the ability to access their learning applications.,2,1
Ms.,FL,Grades 3-5,"Math & Science, Special Needs","Mathematics, Special Needs",A Multi-sensory Approach to Learning,"How can we make learning more accessible and enriching to students? How can we take a regular resource classroom and make it a learning workshop where students fuel their learning? I believe that my students and many other students need environments that are stimulating and promote kinesthetic and tactile learning. This project will benefit  my students with specials needs in helping them achieve their educational goals and needs by focusing on teaching using manipulatives and hands-on activities. My student population is very diverse and includes students with Autism, Emotional Behaviors Disorders, and Specific learning Disabilities.",My students need an array of manipulatives in order to make their learning a multi-sensory experience.,2,0
Mrs.,WI,Grades PreK-2,"Applied Learning, Literacy & Language","Early Development, Literacy","Supplementing our learning, one cool tool at a time!","What makes my Kindergarten students special?   My Kindergarten kids are excited and energetic.  They are accepting and compassionate.  They are eager to learn and quick to question new ideas and concepts.  They are not perfect, but they know it's ok to make mistakes.  They are active and eager to learn!     \r\n  They have lots to learn, but they know that learning never ends. They come from different family environments and cultures, but in our classroom, that doesn't matter.  We are a family.",My students need some HOT tools to help aid in their learning goals and prepare them for the future.,3,1
Mrs.,OK,Grades 6-8,Music & The Arts,Visual Arts,Join us in celebrating the retirement of Well Loved Supplies.,"Creating great art takes great tools. One never knows when the muse might strike and young artists need to have access to quality tools at their fingertips. As I continue to build our art program, it is clear that a few basic tools will help eliminate some roadblocks for our artists.\r\n\r\nThe K-12 students who will benefit from these resources are in an alternative school setting.\r\nProviding smaller classes is just one of many ways we strive to help students achieve academic success. The down side of a smaller setting is, of course, a smaller building and a smaller budget. Students and staff work together in finding creative solutions to space and financial limitations.",My students need fresh supplies!  We have made the current ones last as long as possible and are ready for new tools!,16,1
Mrs.,NJ,Grades PreK-2,Special Needs,Special Needs,Continuing To Be Flexible In The 21st Century,"I currently teach in a Title 1 School where about 1/2  of our students are on free/reduced lunch. My class consists of both regular and special education students. Class sizes has begun to grow and students and their familiies continue to try and rebuild from Superstorm Sandy. Many students come from single income households and have little resources at home to help with education. In the past, teachers were required to teach one way and students either grasped concepts or were left behind.  Flash forward to the 21st century and research has now proven that giving students their own choice of how they learn enhances their abilitiy to understand and succeed in their education. \r\n\r\n\""If we teach today's students as we taught yesterday's, we rob them of tomorrow\"" - John Dewey. I currently have 25 amazing students who are eager to learn.  Many of my students are academically low due to constrictions on how teachers are required to teach. As our 1st marking period comes to a close, I've dedicated myself to being a 21st century teacher. My dream of giving each one of my students a creative learning space has expanded as I find what works in my classroom.","My students need stability yoga balls, active learning stools, and tables in various sizes to help give my students a better variety of learning space options.",2,1
Ms.,FL,Grades 3-5,Math & Science,"Applied Sciences, Environmental Science",Science and the real world magazine subscription,"My students are lively, confident children.  They are mostly ESE and ELL students.  The community the school is located in is a very needy area.  Although not far from an affluent area, it lacks all the benefits from it.  The students qualify for free or reduced lunch.  The school is a title 1 school. Students attend this school from nursery through high school.  The students are constantly in need of supplies and the financial needs of their families are so great that at times, it is impossible for them to bring them to school.",My students need these scholastic Super science subscriptions to tie in the curriculum with real world application of science.,24,1
Mrs.,KY,Grades 3-5,"Applied Learning, Special Needs","Character Education, Special Needs",Raising Social Butterflies,"My students are an extremely diverse group of learners . As a special education teacher in a high poverty district, 90% of students qualify for free or reduced lunch and 14% of the school population meets the criteria to be identified as homeless. My students face unique challenges, and their basic needs must be met before they can unlock their true potential.\r\n\r\nMy students are creative, funny, and innovative, but their socially inappropriate behaviors often exclude them from participating appropriately in a typical classroom. These students have so much to offer, but are typically the ones who are seen \""getting in trouble\"" rather than getting praised for their accomplishments.","My students need the \""Skillstreaming\"" curriculum for the explicit teaching of social skills/socially appropriate behaviors.",1,1
Ms.,FL,Grades 3-5,Math & Science,Mathematics,Flexible Seating for Fantastic Fifth Graders!,"I have the pleasure of working in a K-8 building with 1,000+ students and an amazing staff. This will year will be a large transition year for my students as they rotate between teachers for the first time.\r\n\r\nI have 72 students coming to my classroom to learn each and every day.\r\n\r\nIf you walked into my classroom on any given day, you would see my students collaborating, discussing their learning, and working hard. As their teacher, it is my job to create lessons and provide them with the resources necessary to allow them to thrive in the classroom. Your donations to my students can give them the opportunity to engage in their learning with the resources they need to be successful.",My students need flexible seating options in order to thrive in their learning environment.,0,1
Mrs.,TX,Grades PreK-2,Applied Learning,Early Development,Fun and Games for First Graders !,Our school will be celebrating our 86th anniversary this year. One of our principals would say that we were a hidden gem in our city. We have a small and wonderful community which makes our school awesome. We start the day by offering free breakfast in the classroom. This ensures all the students are ready to learn. Most of our students benefit from the free or reduced price lunch program. I am privileged to be teaching at this school for 20 years.,"My students need board games, storage bins, charging station and wireless headphones.",27,1
Ms.,OK,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics",We're Hands On in Kindergarten,"A typical day in Kindergarten involves hands on learning.  I want my students to create their own knowledge by providing an authentic learning experience.  In order to do so, I need to provide them with the materials needed.",My students need a hands on materials in order to create a more authentic learning experience.,0,0
